age,education,income,spending
42,High School,53936,13227.12
49,Master,82468,12674.04
55,Bachelor,56941,5354.115
24,Bachelor,60651,2606.51
64,Master,81884,18984.78
24,PhD,61444,18072.2
58,PhD,78024,21511.08
34,High School,32225,6727.875
63,PhD,63664,9273.28
64,High School,45043,16252.15
32,Bachelor,91170,12446.8
23,Master,86576,11463.04
24,Master,36359,12436.155
39,Master,78325,3783.25
56,Master,95451,9509.02
36,Bachelor,44475,1522.375
57,PhD,29055,4690.55
61,Bachelor,25064,3250.6400000000003
62,Master,88392,9367.84
31,Master,79056,15162.24
60,High School,62509,17125.45
25,Master,44953,5699.06
19,High School,48896,5666.879999999999
28,PhD,28151,3881.51
27,High School,95217,11484.765
56,High School,36311,5526.22
56,PhD,31997,12959.909999999998
25,High School,45505,2182.575
63,PhD,47600,2238.0
61,PhD,33303,10832.575
22,High School,59460,4783.8
45,High School,86012,11440.48
20,PhD,46129,7653.225
40,Bachelor,46661,1733.305
61,Bachelor,64867,16419.015
34,PhD,42913,1814.5650000000005
48,Master,66812,14238.419999999998
60,Bachelor,93478,2167.3900000000003
47,Master,25989,14669.505
35,Bachelor,83154,9094.62
57,Master,97368,23868.4
26,PhD,74318,4343.18
18,Master,40981,4819.62
32,PhD,94468,15906.38
20,PhD,26131,4891.964999999999
46,Master,40668,13626.72
51,High School,25100,12204.0
38,PhD,26534,14928.69
30,Bachelor,21930,8467.55
61,Master,20444,8008.880000000001
18,High School,44963,1449.63
56,Master,56697,5950.454999999999
24,PhD,30662,1653.31
35,High School,53618,3804.27
59,High School,40242,8006.05
19,High School,46966,3674.15
53,Master,94379,2371.895
65,PhD,77074,15512.22
52,Bachelor,69227,18461.35
36,Bachelor,39794,7494.85
39,Master,32282,11168.46
57,High School,55339,4430.085
27,Master,71746,16728.57
26,High School,82660,5653.200000000001
21,Bachelor,88557,2885.57
37,Master,59220,13972.7
24,PhD,82128,10263.84
39,PhD,35205,15808.2
45,Master,63919,5458.785
28,High School,28629,2286.2900000000004
30,High School,70438,1152.19
24,Master,78791,12751.64
55,PhD,30965,12928.95
32,Bachelor,76521,6730.42
40,High School,23620,10062.9
46,High School,85154,9980.39
34,High School,48297,10414.85
27,Bachelor,80084,10502.94
41,High School,98150,11926.0
27,PhD,88318,17932.72
61,PhD,85358,10507.160000000002
52,High School,64593,9137.79
38,Bachelor,53670,15683.5
27,Master,81660,3816.6
23,High School,49503,2242.545
20,High School,78797,6563.91
28,PhD,68669,17490.105
42,High School,87895,14394.75
22,Bachelor,57966,11608.47
56,PhD,70930,25546.5
55,High School,20031,3900.465
37,Master,28601,14744.04
34,PhD,70352,15062.319999999998
21,Bachelor,51319,5282.975
64,High School,24709,12188.36
44,PhD,98900,4589.0
61,Master,73888,2069.44
57,PhD,80146,2600.73
24,Bachelor,22651,1113.255
56,Master,33800,16821.0
59,Bachelor,70254,16410.16
25,PhD,64284,3242.84
61,Bachelor,70809,10270.225
65,Bachelor,25004,11375.14
46,Bachelor,79699,11390.97
58,High School,25240,10609.6
34,Bachelor,50101,2701.01
58,Master,34869,6223.035
45,High School,33731,9580.585
22,PhD,40467,1502.335
46,PhD,23949,16957.960000000003
38,High School,66203,3062.03
25,High School,65278,6158.339999999999
29,Bachelor,67946,2879.46
56,Bachelor,20423,6408.46
60,High School,58438,8953.14
62,Bachelor,38597,5078.954999999999
47,PhD,65147,10628.675
26,Bachelor,67479,8624.37
48,Master,92509,12975.27
29,High School,89891,12494.55
37,PhD,39257,5988.855
32,Bachelor,51019,4665.285
36,PhD,26062,6390.929999999999
56,PhD,30213,4302.13
26,Master,92191,13726.685
65,PhD,59063,13771.89
23,PhD,68399,14777.955000000002
21,PhD,21104,11238.64
64,PhD,46737,14602.11
36,High School,44308,2843.08
35,Bachelor,78479,10446.765
29,PhD,42903,8058.060000000001
47,Bachelor,66578,14663.120000000004
58,PhD,46691,11167.275
18,PhD,21019,6420.380000000001
37,Master,91461,19573.05
27,PhD,32131,15685.24
32,Master,22833,3228.33
35,High School,53629,7477.015
51,PhD,33373,11834.325
